model_alias,pool_last_k,pre_best_layer,pre_best_head,pre_relative_depth,pre_silhouette_cosine,post_best_layer,post_best_head,post_relative_depth,post_silhouette_cosine,delta_post_minus_pre,same_best_layer,same_best_head
gemma2_2b_base,1,17,3,0.68,0.081554284813,17,3,0.68,0.079728032916,-0.001826251897,true,true
gemma2_2b_base,3,16,7,0.64,0.017684810943,17,3,0.68,0.016061644958,-0.001623165985,false,false
gemma2_2b_base,5,9,5,0.36,0.005340159178,9,5,0.36,0.004653940204,-0.000686218974,true,true
gemma2_2b_it,1,7,6,0.28,-0.002033012114,7,6,0.28,-0.002966924608,-0.000933912494,true,true
gemma2_2b_it,3,6,6,0.24,0.000267690519,6,6,0.24,-0.005403243766,-0.005670934286,true,true
gemma2_2b_it,5,9,2,0.36,-0.005518963953,6,4,0.24,-0.011354486839,-0.005835522886,false,false
llama3_base,1,17,24,0.5483870967741935,0.059523138766,17,24,0.5483870967741935,0.058717926046,-0.000805212719,true,true
llama3_base,3,11,4,0.3548387096774194,0.019392755879,18,16,0.5806451612903226,0.015370835683,-0.004021920197,false,false
llama3_base,5,11,4,0.3548387096774194,0.015941437990,18,16,0.5806451612903226,0.007146702401,-0.008794735590,false,false
llama3_it,1,18,16,0.5806451612903226,0.047495005017,18,16,0.5806451612903226,0.047695824201,0.000200819184,true,true
llama3_it,3,11,4,0.3548387096774194,0.024200644072,20,30,0.6451612903225806,0.017618650683,-0.006581993389,false,false
llama3_it,5,11,4,0.3548387096774194,0.017850058889,20,30,0.6451612903225806,0.008318258623,-0.009531800267,false,false
mistral_base,1,17,26,0.5483870967741935,0.101890612344,17,26,0.5483870967741935,0.089467038195,-0.012423574148,true,true
mistral_base,3,19,9,0.6129032258064516,0.034047713588,19,9,0.6129032258064516,0.032325502164,-0.001722211424,true,true
mistral_base,5,8,2,0.25806451612903225,0.017583313789,8,2,0.25806451612903225,0.014534263171,-0.003049050618,true,true
mistral_it,1,17,26,0.5483870967741935,0.079487341262,17,26,0.5483870967741935,0.073557910846,-0.005929430415,true,true
mistral_it,3,19,9,0.6129032258064516,0.033568691352,19,9,0.6129032258064516,0.031826037008,-0.001742654343,true,true
mistral_it,5,8,2,0.25806451612903225,0.018830503305,8,2,0.25806451612903225,0.014898060532,-0.003932442774,true,true
