model_alias,pool_last_k,layer,head,original_six_class_silhouette,abbr_excluded_five_class_silhouette_at_same_head,delta_five_minus_six,kept_sample_count,dropped_class,dropped_sample_count,kept_classes,note
mistral_base,1,17,26,0.10189061234351986,0.1132090845387342,0.01131847219521434,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
mistral_base,3,19,9,0.034047713588108305,0.03513753462964971,0.001089821041541407,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
mistral_base,5,8,2,0.01758331378864218,0.021459761107140176,0.003876447318497997,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
mistral_it,1,17,26,0.0794873412619792,0.10485101318113986,0.025363671919160655,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
mistral_it,3,19,9,0.0335686913518792,0.03591733419051913,0.0023486428386399333,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
mistral_it,5,8,2,0.018830503305488435,0.02327457989427142,0.004444076588782986,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
llama3_base,1,17,24,0.05952313876565399,0.06704934025619388,0.007526201490539897,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
llama3_base,3,11,4,0.019392755879436844,0.02400725255963645,0.004614496680199608,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
llama3_base,5,11,4,0.015941437990480506,0.024981302245071276,0.00903986425459077,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
llama3_it,1,18,16,0.047495005016861894,0.049488130671591295,0.001993125654729401,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
llama3_it,3,11,4,0.02420064407179638,0.02863582137008157,0.004435177298285187,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
llama3_it,5,11,4,0.01785005888949914,0.028309705678216567,0.010459646788717428,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
gemma2_2b_base,1,17,3,0.08155428481265352,0.0901455657449316,0.008591280932278081,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
gemma2_2b_base,3,16,7,0.017684810942924414,0.02978239315718933,0.012097582214264914,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
gemma2_2b_base,5,9,5,0.005340159177576339,0.01002646057821404,0.004686301400637701,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
gemma2_2b_it,1,7,6,-0.002033012114141387,0.009688459635664965,0.011721471749806353,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
gemma2_2b_it,3,6,6,0.0002676905194341062,0.01618955921139369,0.015921868691959582,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
gemma2_2b_it,5,9,2,-0.005518963953455555,0.009568016149974563,0.015086980103430118,4731,ABBR,86,ENTY;DESC;HUM;LOC;NUM,5-class score recomputed at the original 6-class best layer/head; not a full 5-class layer-head rescan.
